code,term,dmd_id
321589009,Risperidone 1mg tablets,321589009
13120811000001102,Risperidone 1mg tablets,13120811000001102
18466411000001107,Risperidone 1mg tablets,18466411000001107
12873211000001105,Risperidone 1mg tablets,12873211000001105
13125711000001100,Risperidone 1mg tablets,13125711000001100
18507811000001100,Risperidone 1mg tablets,18507811000001100
13768811000001100,Risperidone 1mg tablets,13768811000001100
13438211000001102,Risperidone 1mg tablets,13438211000001102
14127711000001109,Risperidone 1mg tablets,14127711000001109
30090711000001106,Risperidone 1mg tablets,30090711000001106
35913211000001105,Risperidone 1mg tablets,35913211000001105
18478711000001106,Risperidone 1mg tablets,18478711000001106
13118411000001106,Risperidone 1mg tablets,13118411000001106
30881311000001100,Risperidone 1mg tablets,30881311000001100
35181011000001101,Risperidone 1mg tablets,35181011000001101
14401311000001106,Risperidone 1mg tablets,14401311000001106
17924911000001108,Risperidone 1mg tablets,17924911000001108
13723611000001102,Risperidone 1mg tablets,13723611000001102
37330411000001101,Risperidone 1mg tablets,37330411000001101
38913811000001102,Risperidone 1mg tablets,38913811000001102
15186111000001106,Risperidone 1mg tablets,15186111000001106
12885511000001100,Risperidone 1mg tablets,12885511000001100
36815211000001100,Risperidone 1mg tablets,36815211000001100
21882011000001101,Risperidone 1mg tablets,21882011000001101
14770711000001104,Risperidone 1mg tablets,14770711000001104
321590000,Risperidone 2mg tablets,321590000
13121111000001103,Risperidone 2mg tablets,13121111000001103
18466711000001101,Risperidone 2mg tablets,18466711000001101
12873711000001103,Risperidone 2mg tablets,12873711000001103
13126011000001106,Risperidone 2mg tablets,13126011000001106
18508111000001108,Risperidone 2mg tablets,18508111000001108
13769311000001103,Risperidone 2mg tablets,13769311000001103
13438511000001104,Risperidone 2mg tablets,13438511000001104
14128411000001104,Risperidone 2mg tablets,14128411000001104
30091011000001100,Risperidone 2mg tablets,30091011000001100
23562011000001108,Risperidone 2mg tablets,23562011000001108
18479111000001103,Risperidone 2mg tablets,18479111000001103
13118711000001100,Risperidone 2mg tablets,13118711000001100
35181211000001106,Risperidone 2mg tablets,35181211000001106
14402311000001102,Risperidone 2mg tablets,14402311000001102
17925211000001103,Risperidone 2mg tablets,17925211000001103
13723911000001108,Risperidone 2mg tablets,13723911000001108
37330211000001100,Risperidone 2mg tablets,37330211000001100
20891211000001105,Risperidone 2mg tablets,20891211000001105
15186911000001109,Risperidone 2mg tablets,15186911000001109
12885911000001107,Risperidone 2mg tablets,12885911000001107
36815711000001107,Risperidone 2mg tablets,36815711000001107
21882311000001103,Risperidone 2mg tablets,21882311000001103
14771011000001105,Risperidone 2mg tablets,14771011000001105
321591001,Risperidone 3mg tablets,321591001
13121311000001101,Risperidone 3mg tablets,13121311000001101
18466911000001104,Risperidone 3mg tablets,18466911000001104
12874011000001103,Risperidone 3mg tablets,12874011000001103
13126211000001101,Risperidone 3mg tablets,13126211000001101
18508311000001105,Risperidone 3mg tablets,18508311000001105
13769511000001109,Risperidone 3mg tablets,13769511000001109
13438711000001109,Risperidone 3mg tablets,13438711000001109
35181511000001109,Risperidone 3mg tablets,35181511000001109
14128811000001102,Risperidone 3mg tablets,14128811000001102
30091211000001105,Risperidone 3mg tablets,30091211000001105
23561411000001109,Risperidone 3mg tablets,23561411000001109
18479311000001101,Risperidone 3mg tablets,18479311000001101
13118911000001103,Risperidone 3mg tablets,13118911000001103
14402611000001107,Risperidone 3mg tablets,14402611000001107
17925411000001104,Risperidone 3mg tablets,17925411000001104
13724111000001107,Risperidone 3mg tablets,13724111000001107
37331411000001105,Risperidone 3mg tablets,37331411000001105
20894411000001106,Risperidone 3mg tablets,20894411000001106
15187111000001109,Risperidone 3mg tablets,15187111000001109
12886111000001103,Risperidone 3mg tablets,12886111000001103
36816411000001105,Risperidone 3mg tablets,36816411000001105
21882511000001109,Risperidone 3mg tablets,21882511000001109
14771211000001100,Risperidone 3mg tablets,14771211000001100
321592008,Risperidone 4mg tablets,321592008
13121511000001107,Risperidone 4mg tablets,13121511000001107
18467111000001104,Risperidone 4mg tablets,18467111000001104
12874211000001108,Risperidone 4mg tablets,12874211000001108
13126411000001102,Risperidone 4mg tablets,13126411000001102
18508511000001104,Risperidone 4mg tablets,18508511000001104
13769711000001104,Risperidone 4mg tablets,13769711000001104
13438911000001106,Risperidone 4mg tablets,13438911000001106
14129211000001108,Risperidone 4mg tablets,14129211000001108
30091411000001109,Risperidone 4mg tablets,30091411000001109
23561211000001105,Risperidone 4mg tablets,23561211000001105
18479511000001107,Risperidone 4mg tablets,18479511000001107
13119111000001108,Risperidone 4mg tablets,13119111000001108
35181911000001102,Risperidone 4mg tablets,35181911000001102
14403011000001109,Risperidone 4mg tablets,14403011000001109
17925611000001101,Risperidone 4mg tablets,17925611000001101
13724311000001109,Risperidone 4mg tablets,13724311000001109
37332011000001109,Risperidone 4mg tablets,37332011000001109
20896811000001101,Risperidone 4mg tablets,20896811000001101
15187411000001104,Risperidone 4mg tablets,15187411000001104
12886311000001101,Risperidone 4mg tablets,12886311000001101
36816911000001102,Risperidone 4mg tablets,36816911000001102
21882711000001104,Risperidone 4mg tablets,21882711000001104
14771411000001101,Risperidone 4mg tablets,14771411000001101
321597002,Risperidone 1mg/ml oral solution sugar free,321597002
13375911000001107,Risperidone 1mg/ml oral solution sugar free,13375911000001107
15861711000001108,Risperidone 1mg/ml oral solution sugar free,15861711000001108
13380911000001109,Risperidone 1mg/ml oral solution sugar free,13380911000001109
13769111000001100,Risperidone 1mg/ml oral solution sugar free,13769111000001100
38112211000001107,Risperidone 1mg/ml oral solution sugar free,38112211000001107
15239911000001106,Risperidone 1mg/ml oral solution sugar free,15239911000001106
13342511000001105,Risperidone 1mg/ml oral solution sugar free,13342511000001105
30880911000001106,Risperidone 1mg/ml oral solution sugar free,30880911000001106
35180511000001102,Risperidone 1mg/ml oral solution sugar free,35180511000001102
13934811000001107,Risperidone 1mg/ml oral solution sugar free,13934811000001107
14775911000001106,Risperidone 1mg/ml oral solution sugar free,14775911000001106
17924511000001101,Risperidone 1mg/ml oral solution sugar free,17924511000001101
30172711000001109,Risperidone 1mg/ml oral solution sugar free,30172711000001109
20890811000001103,Risperidone 1mg/ml oral solution sugar free,20890811000001103
15186411000001101,Risperidone 1mg/ml oral solution sugar free,15186411000001101
13153411000001106,Risperidone 1mg/ml oral solution sugar free,13153411000001106
33527711000001100,Risperidone 1mg/ml oral solution sugar free,33527711000001100
21881611000001102,Risperidone 1mg/ml oral solution sugar free,21881611000001102
14771811000001104,Risperidone 1mg/ml oral solution sugar free,14771811000001104
321599004,Risperidone 6mg tablets,321599004
13121711000001102,Risperidone 6mg tablets,13121711000001102
20169211000001101,Risperidone 6mg tablets,20169211000001101
12874611000001105,Risperidone 6mg tablets,12874611000001105
13126611000001104,Risperidone 6mg tablets,13126611000001104
18508711000001109,Risperidone 6mg tablets,18508711000001109
13770111000001102,Risperidone 6mg tablets,13770111000001102
13439111000001101,Risperidone 6mg tablets,13439111000001101
30091611000001107,Risperidone 6mg tablets,30091611000001107
23562211000001103,Risperidone 6mg tablets,23562211000001103
13119511000001104,Risperidone 6mg tablets,13119511000001104
30881611000001105,Risperidone 6mg tablets,30881611000001105
35182211000001104,Risperidone 6mg tablets,35182211000001104
14403411000001100,Risperidone 6mg tablets,14403411000001100
17925811000001102,Risperidone 6mg tablets,17925811000001102
13724511000001103,Risperidone 6mg tablets,13724511000001103
37331011000001101,Risperidone 6mg tablets,37331011000001101
20897711000001107,Risperidone 6mg tablets,20897711000001107
15187711000001105,Risperidone 6mg tablets,15187711000001105
12886511000001107,Risperidone 6mg tablets,12886511000001107
36817311000001100,Risperidone 6mg tablets,36817311000001100
21882911000001102,Risperidone 6mg tablets,21882911000001102
14771611000001103,Risperidone 6mg tablets,14771611000001103
321602009,Risperidone 500microgram tablets,321602009
